symbol,name,image,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,ath_year,ath_month,atl_year,atl_month
btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103254,2053633927984,1,109884508023,19944128,19944128,126080,-18.61454,2025-10-06 18:57:42.558000+00:00,68,151223.12416,2013-07-06 00:00:00+00:00,2025,10,2013,7
eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3350,402584535114,2,67868596754,120697275,120697275,4946,-32.68115,2025-08-24 19:21:03.333000+00:00,0,768903.58324,2015-10-20 00:00:00+00:00,2025,8,2015,10
usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1,183419490118,3,195902232727,183430228993,183430228993,1,-24.4281,2018-07-24 00:00:00+00:00,1,74.64657,2015-03-02 00:00:00+00:00,2018,7,2015,3
xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2,135617205796,4,8760580279,60107199237,99985774127,4,-38.32373,2025-07-18 03:40:53.808000+00:00,0,83622.15354,2014-05-22 00:00:00+00:00,2025,7,2014,5
bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,958,131599676955,5,4882216429,137737599,137737597,1370,-30.53823,2025-10-13 08:41:24.131000+00:00,0,2389843.41942,2017-10-19 00:00:00+00:00,2025,10,2017,10
sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,159,87508395547,6,10862542757,552740216,613405400,293,-46.18402,2025-01-19 11:15:27.957000+00:00,1,31419.23702,2020-05-11 19:35:23.449000+00:00,2025,1,2020,5
usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1,75050040836,7,15794950577,75065036793,75065036793,1,-14.7457,2019-05-08 00:40:28.300000+00:00,1,13.91628,2023-03-11 08:02:13.981000+00:00,2019,5,2023,3
steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3342,28627658393,8,164148593,8585408,8585530,4933,-32.49256,2025-08-24 19:21:31.902000+00:00,483,589.60376,2020-12-22 04:08:21.854000+00:00,2025,8,2020,12
trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0,27182453434,9,1300629408,94665903211,94665903211,0,-33.47246,2024-12-04 00:10:40.323000+00:00,0,15801.95256,2017-11-12 00:00:00+00:00,2024,12,2017,11
doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0,24977556586,10,4131831615,151620246384,151647836384,1,-77.55486,2021-05-08 05:08:23.458000+00:00,0,188848.93982,2015-05-06 00:00:00+00:00,2021,5,2015,5
ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,1,19763224480,11,1950749978,36588259707,45000000000,3,-82.52956,2021-09-02 06:00:10.474000+00:00,0,2701.14277,2020-03-13 02:22:55.044000+00:00,2021,9,2020,3
figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1,13886105251,12,24871580,13441660770,13441660770,1,-24.57197,2025-10-28 06:05:38.345000+00:00,0,564.96351,2025-10-31 14:27:24.456000+00:00,2025,10,2025,10
wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4073,13538747672,13,52728197,3331909,3331909,7256,-44.02444,2022-05-13 15:09:54.509000+00:00,559,627.18112,2022-05-13 01:36:45.053000+00:00,2022,5,2022,5
wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,103239,13086429933,14,753283501,126763,126763,125932,-18.5932,2025-10-06 18:55:19.650000+00:00,3139,3165.73767,2019-04-02 00:00:00+00:00,2025,10,2019,4
