symbol,name,image,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103254.0,2053633927984.0,1.0,109884508023.0,19944128.0,19944128.0,126080.0,-18.61454,2025-10-06T18:57:42.558Z,67.81,151223.12416,2013-07-06T00:00:00.000Z
eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3350.04,402584535114.0,2.0,67868596754.0,120697275.3392686,120697275.3392686,4946.05,-32.68115,2025-08-24T19:21:03.333Z,0.432979,768903.58324,2015-10-20T00:00:00.000Z
usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999982,183419490118.0,3.0,195902232727.0,183430228992.5696,183430228992.5696,1.32,-24.4281,2018-07-24T00:00:00.000Z,0.572521,74.64657,2015-03-02T00:00:00.000Z
xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.26,135617205796.0,4.0,8760580279.0,60107199237.0,99985774127.0,3.65,-38.32373,2025-07-18T03:40:53.808Z,0.00268621,83622.15354,2014-05-22T00:00:00.000Z
bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,957.82,131599676955.0,5.0,4882216429.0,137737598.81,137737596.65,1369.99,-30.53823,2025-10-13T08:41:24.131Z,0.0398177,2389843.41942,2017-10-19T00:00:00.000Z
sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,158.68,87508395547.0,6.0,10862542757.0,552740216.2593931,613405399.9916092,293.31,-46.18402,2025-01-19T11:15:27.957Z,0.500801,31419.23702,2020-05-11T19:35:23.449Z
usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9998,75050040836.0,7.0,15794950577.0,75065036792.83069,75065036792.83069,1.17,-14.7457,2019-05-08T00:40:28.300Z,0.877647,13.91628,2023-03-11T08:02:13.981Z
steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3342.29,28627658393.0,8.0,164148593.0,8585407.730713973,8585529.558044799,4932.89,-32.49256,2025-08-24T19:21:31.902Z,482.9,589.60376,2020-12-22T04:08:21.854Z
trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.287298,27182453434.0,9.0,1300629408.0,94665903211.46721,94665903211.46721,0.431288,-33.47246,2024-12-04T00:10:40.323Z,0.00180434,15801.95256,2017-11-12T00:00:00.000Z
doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.165292,24977556586.0,10.0,4131831615.0,151620246383.7052,151647836383.7052,0.731578,-77.55486,2021-05-08T05:08:23.458Z,8.69e-05,188848.93982,2015-05-06T00:00:00.000Z
