id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103107.0,2058959568886,1,2058959568886,111331132476,104666.0,99076.0,-1410.216663737985,-1.34927,-23805251701.750244,-1.14296,19944128.0,19944128.0,21000000.0,126080.0,-18.17706,2025-10-06T18:57:42.558Z,67.81,152036.53687,2013-07-06T00:00:00.000Z,,2025-11-05T15:01:35.422Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3344.44,404718772415,2,404718772415,67353110027,3576.09,3097.71,-215.46700097442636,-6.0526,-24068538606.09613,-5.61316,120697275.3392686,120697275.3392686,,4946.05,-32.33744,2025-08-24T19:21:03.333Z,0.432979,772829.91335,2015-10-20T00:00:00.000Z,"{'times': 42.369661323677725, 'currency': 'btc', 'percentage': 4236.966132367773}",2025-11-05T15:01:37.389Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999863,183402199943,3,183402199943,194959214925,1.0,0.999201,9.04e-05,0.00904,-20582456.753112793,-0.01122,183430228992.5696,183430228992.5696,,1.32,-24.42929,2018-07-24T00:00:00.000Z,0.572521,74.64382,2015-03-02T00:00:00.000Z,,2025-11-05T15:01:40.441Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.26,136240851192,4,226630871960,8738132991,2.32,2.09,-0.04259347201246655,-1.84729,-2105546559.2400208,-1.52194,60107199237.0,99985774127.0,100000000000.0,3.65,-37.91269,2025-07-18T03:40:53.808Z,0.00268621,84180.11184,2014-05-22T00:00:00.000Z,,2025-11-05T15:01:40.061Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,955.97,131888449825,5,131888449825,4836319038,964.24,888.75,-6.839088442971729,-0.71033,-752339636.4398193,-0.5672,137737596.65,137737596.65,200000000.0,1369.99,-30.19341,2025-10-13T08:41:24.131Z,0.0398177,2401707.41913,2017-10-19T00:00:00.000Z,,2025-11-05T15:01:35.295Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,158.67,87883794923,6,97529350664,10802438641,164.71,147.97,-5.665875193853253,-3.44765,-2866591548.270996,-3.15877,552740216.2593931,613405393.9915092,,293.31,-46.18402,2025-01-19T11:15:27.957Z,0.500801,31419.23702,2020-05-11T19:35:23.449Z,,2025-11-05T15:01:39.891Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9998,75050040675,7,75050040675,18250287748,0.99996,0.999675,2.65e-05,0.00265,-410456357.2332001,-0.54394,75065036792.83069,75065036792.83069,,1.17,-14.74418,2019-05-08T00:40:28.300Z,0.877647,13.91831,2023-03-11T08:02:13.981Z,,2025-11-05T15:01:40.318Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3345.37,28769633346,8,28770041588,163665732,3570.36,3087.32,-204.21558954368766,-5.75323,-1701665995.0860596,-5.58449,8585407.730713973,8585529.558044799,,4932.89,-32.49256,2025-08-24T19:21:31.902Z,482.9,589.60376,2020-12-22T04:08:21.854Z,,2025-11-05T15:01:39.560Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.287474,27221317449,9,27221317449,1292964493,0.28766,0.277725,0.00454629,1.60687,462344763.0,1.72781,94665903211.46721,94665903211.46721,,0.431288,-33.32528,2024-12-04T00:10:40.323Z,0.00180434,15837.13217,2017-11-12T00:00:00.000Z,"{'times': 150.30197730296032, 'currency': 'usd', 'percentage': 15030.197730296031}",2025-11-05T15:01:39.859Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.165901,25167275265,10,25171854898,4144683334,0.16767,0.152972,-0.001014628828106073,-0.60787,-96367505.20167923,-0.38145,151620246383.7052,151647836383.7052,,0.731578,-77.32023,2021-05-08T05:08:23.458Z,8.69e-05,190824.09183,2015-05-06T00:00:00.000Z,,2025-11-05T15:01:39.864Z
